Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Publication Date,Discovery Locale,Discovery Facility,Discovery Telescope,Discovery Instrument
HAT-P-33 b,HAT-P-33,b,2,1,0,Transit,2011,2011-11,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-34 b,HAT-P-34,b,1,1,0,Transit,2011,2012-07,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-35 b,HAT-P-35,b,3,1,0,Transit,2011,2012-07,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-36 b,HAT-P-36,b,1,1,0,Transit,2011,2012-07,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-37 b,HAT-P-37,b,1,1,0,Transit,2011,2012-07,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HD 100655 b,HD 100655,b,2,1,0,Radial Velocity,2011,2012-04,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph
HD 102329 b,HD 102329,b,1,2,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 106270 b,HD 106270,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 108863 b,HD 108863,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 116029 b,HD 116029,b,2,2,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 131496 b,HD 131496,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 132563 b,HD 132563,b,3,1,0,Radial Velocity,2011,2011-09,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,SARG Spectrograph
HD 137388 b,HD 137388,b,1,1,0,Radial Velocity,2011,2011-11,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 142245 b,HD 142245,b,3,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 1502 b,HD 1502,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 152581 b,HD 152581,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 156279 b,HD 156279,b,1,2,0,Radial Velocity,2011,2012-02,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
HD 158038 b,HD 158038,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 18742 b,HD 18742,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
