,longitude,latitude,TOT,CR,TIME,MO,YR
66158,-74.187965409947,40.519849844396,1,BURGLARY,08/19/2013,8,2013
77687,-73.99336106614899,40.694534046535004,1,GRAND LARCENY,06/28/2013,6,2013
37940,-73.83307354958299,40.684842150384,1,BURGLARY,07/05/2013,7,2013
73043,-73.982558845965,40.701345428399,2,FELONY ASSAULT,01/25/2013,1,2013
60435,-73.925482025791,40.707753613626,1,BURGLARY,03/01/2013,3,2013
35874,-73.83345693963601,40.677146348879,1,BURGLARY,05/21/2013,5,2013
15888,-73.943699672429,40.815305750471,1,FELONY ASSAULT,01/26/2013,1,2013
72103,-73.784892904654,40.66983604419,1,GRAND LARCENY OF MOTOR VEHICLE,07/30/2013,7,2013
44996,-73.954827888983,40.638043331700004,1,GRAND LARCENY,08/12/2013,8,2013
73489,-73.856170451754,40.822294701138,1,FELONY ASSAULT,01/10/2013,1,2013
75904,-73.886623553237,40.81686118131,1,GRAND LARCENY,04/06/2013,4,2013
2370,-73.910118193247,40.655855435672,1,GRAND LARCENY,06/04/2013,6,2013
63494,-73.998433494289,40.755561157081,1,GRAND LARCENY,06/03/2013,6,2013
42731,-73.884812715504,40.735936242516,1,GRAND LARCENY,12/02/2013,12,2013
78521,-73.95060646489199,40.66047196698,1,GRAND LARCENY,07/23/2013,7,2013
63316,-74.199499273329,40.5231680825,1,GRAND LARCENY,06/05/2013,6,2013
56722,-73.825058167701,40.732962505145004,1,GRAND LARCENY,11/24/2013,11,2013
17579,-74.008855379913,40.738746496213004,1,FELONY ASSAULT,01/10/2013,1,2013
96803,-73.90975440515899,40.679668850668,1,BURGLARY,12/03/2013,12,2013
12686,-73.907042745432,40.679979596228,1,GRAND LARCENY OF MOTOR VEHICLE,08/20/2013,8,2013
69714,-73.942925646438,40.652072125746,1,BURGLARY,12/27/2013,12,2013
75428,-73.911550958037,40.825638651257,1,GRAND LARCENY,05/30/2013,5,2013
50409,-73.894353093829,40.633669650509,1,FELONY ASSAULT,06/14/2013,6,2013
96946,-73.921069448978,40.708911707906,1,GRAND LARCENY,12/02/2013,12,2013
97309,-73.825101752401,40.699860694978,1,FELONY ASSAULT,11/30/2013,11,2013
8161,-73.77399285114299,40.714233892424005,1,BURGLARY,04/25/2013,4,2013
42876,-73.952250911002,40.699528044302,1,GRAND LARCENY,11/08/2013,11,2013
60224,-73.906910672443,40.648035740099004,1,FELONY ASSAULT,06/18/2013,6,2013
95629,-73.813659264319,40.667322606739,1,ROBBERY,10/11/2013,10,2013
85997,-73.963072688813,40.649442622536995,1,GRAND LARCENY,09/18/2013,9,2013
79188,-73.934697834714,40.803226964215,1,FELONY ASSAULT,08/02/2013,8,2013
69366,-73.963887455801,40.7753396055,1,GRAND LARCENY,12/05/2013,12,2013
8440,-73.970535720402,40.756139285606,1,GRAND LARCENY OF MOTOR VEHICLE,05/27/2013,5,2013
3441,-73.90087459461199,40.817804774164,1,ROBBERY,06/16/2013,6,2013
57670,-73.843170340399,40.672150776427,1,FELONY ASSAULT,04/24/2013,4,2013
17118,-73.92982087427,40.797037481974,1,ROBBERY,12/16/2013,12,2013
86620,-73.825658796686,40.666130968291,2,BURGLARY,01/05/2013,1,2013
10823,-73.967204436937,40.704257018576996,1,ROBBERY,09/29/2013,9,2013
80104,-73.9679506633,40.802524631718995,1,GRAND LARCENY,09/15/2013,9,2013
23497,-73.922069527837,40.686495867392004,1,BURGLARY,05/07/2013,5,2013
80249,-73.915559313718,40.84743466719,1,GRAND LARCENY,09/30/2013,9,2013
68193,-73.951565633757,40.585429783197,1,GRAND LARCENY,10/28/2013,10,2013
43771,-73.743591840341,40.696216613673,1,GRAND LARCENY,03/09/2013,3,2013
57070,-73.832568579088,40.712198557621996,1,ROBBERY,01/15/2013,1,2013
46782,-73.92656637685799,40.643466178999,1,GRAND LARCENY,02/20/2013,2,2013
91106,-73.937588677421,40.655549737593,1,GRAND LARCENY OF MOTOR VEHICLE,06/16/2013,6,2013
27658,-73.77859681412,40.773620203757,1,GRAND LARCENY,10/15/2013,10,2013
1746,-73.820633267953,40.758874419426,1,GRAND LARCENY,11/17/2013,11,2013
40058,-73.98109530036,40.673428134137,1,FELONY ASSAULT,08/21/2013,8,2013
17616,-73.94986235779601,40.681806793379,1,GRAND LARCENY,08/17/2013,8,2013
37492,-73.967830949972,40.579372220441996,1,GRAND LARCENY,08/21/2013,8,2013
31006,-73.957404546665,40.609133430418,1,GRAND LARCENY,07/13/2013,7,2013
6478,-73.950292559052,40.801187177546,1,GRAND LARCENY,03/30/2013,3,2013
7139,-73.944620256471,40.807409629713995,1,GRAND LARCENY,05/21/2013,5,2013
51153,-73.929899168157,40.619791706268,1,FELONY ASSAULT,07/01/2013,7,2013
59806,-73.923798129501,40.836667421324,1,BURGLARY,01/21/2013,1,2013
27842,-73.976166479276,40.7159217204,1,GRAND LARCENY OF MOTOR VEHICLE,11/30/2013,11,2013
56795,-73.960769891232,40.661735736048996,1,GRAND LARCENY,06/09/2013,6,2013
56614,-73.948712103277,40.710077398801,1,FELONY ASSAULT,11/30/2013,11,2013
53177,-73.865717733927,40.855563896268,1,GRAND LARCENY,09/11/2013,9,2013
56107,-73.954722039375,40.655977709846,2,GRAND LARCENY,12/27/2013,12,2013
45591,-73.85162212892,40.852834859217,1,BURGLARY,04/08/2013,4,2013
32277,-73.863883083871,40.732847512361005,2,GRAND LARCENY,01/11/2013,1,2013
