Name,Status,Fall,Year,Place,Occurrence,,Type,Mass,MetBull
Fitzwater Pass **,Official,,1974,Oregon,1, USA,"Iron, IIIF",65.4 g,98
Klamath Falls **,Official,,1952,Oregon,1, USA,"Iron, IIIF",17 kg,38
Mulino,Doubtful,Y,1927,Oregon,1, USA,Doubtful stone,,
Willamette,Official,,1902,Oregon,1, USA,"Iron, IIIAB",15.5 t,
Sam's Valley,Official,,1894,Oregon,1, USA,"Iron, IIIAB",6.92 kg,
Port Orford,Discredited,,1859,Oregon,1, USA,Discredited,30 g,
Black Moshannan Park,Official,Y,1941,Pennsylvania,1, USA,L5,705 g,
Chicora,Official,Y,1938,Pennsylvania,1, USA,LL6,303 g,
New Baltimore,Official,,1922,Pennsylvania,1, USA,"Iron, ungrouped",20 kg,
Shrewsbury,Official,,1907,Pennsylvania,1, USA,"Iron, IAB-sLL",12 kg,
Bald Eagle,Official,,1891,Pennsylvania,1, USA,"Iron, IIIAB",3.2 kg,
Mount Joy,Official,,1887,Pennsylvania,1, USA,"Iron, IIAB",384 kg,
Bradford Woods,Official,Y,1886,Pennsylvania,1, USA,L,762 g,
Pittsburg,Official,,1850,Pennsylvania,1, USA,"Iron, IAB-MG",600 g,
Cherokee Springs,Official,Y,1933,South Carolina,1, USA,LL6,8.4 kg,
Lexington County,Official,,1880,South Carolina,1, USA,"Iron, IAB-MG",4.76 kg,
Laurens County,Official,,1857,South Carolina,1, USA,"Iron, ungrouped",2.15 kg,
Chesterville,Official,,1849,South Carolina,1, USA,"Iron, IIAB",16.5 kg,
Ruff's Mountain,Official,,1844,South Carolina,1, USA,"Iron, IIIAB",53.07 kg,
Bishopville,Official,Y,1843,South Carolina,1, USA,Aubrite,6 kg,
Dry Creek **,Official,,2018,South Dakota,1, USA,H5,5 kg,108†
Timber Lake **,Official,,2011,South Dakota,1, USA,H3,8.66 kg,102
Winner **,Official,,2004,South Dakota,1, USA,L3.9,8.5 kg,102
Lemmon **,Official,,1984,South Dakota,1, USA,H5,6.68 kg,83
Flandreau **,Official,,1983,South Dakota,1, USA,H5,21.36 kg,72
Wolsey **,Official,,1981,South Dakota,1, USA,"Iron, IAB-MG",74.83 kg,71
Emery **,Official,,1962,South Dakota,1, USA,Mesosiderite-A3,16.7 kg,51
Batesland **,Official,,1961,South Dakota,1, USA,H5,2.5 kg,81
Crow Peak **,Official,,1958,South Dakota,1, USA,"Iron, IIAB",6.32 kg,91
Centerville **,Official,Y,1956,South Dakota,1, USA,H5,45.6 g,26
Faith,Official,,1952,South Dakota,1, USA,H5,105 kg,
Mission,Official,,1949,South Dakota,1, USA,L,12 kg,
Harding County,Official,,1941,South Dakota,1, USA,L4,3.08 kg,
Cavour **,Official,,1938,South Dakota,1, USA,H6,26.21 kg,101
Bennett County **,Official,,1934,South Dakota,1, USA,"Iron, IIAB",89 kg,22
Fairburn **,Official,,1907,South Dakota,1, USA,"Iron, IAB-ung",445 g,101
Bath,Official,Y,1892,South Dakota,1, USA,H4,21 kg,
Fort Pierre,Official,,1856,South Dakota,1, USA,"Iron, IIIAB",15.9 kg,
Harriman (Of),Official,,1939,Tennessee,1, USA,"Iron, IVA",30 kg,
Maryville **,Official,Y,1983,Tennessee,1, USA,L6,1443 g,62
Clinton,Official,,1950,Tennessee,1, USA,Iron,7.7 kg,
Harriman (Om),Official,,1938,Tennessee,1, USA,"Iron, IIIAB",13 kg,
Bristol,Official,,1937,Tennessee,1, USA,"Iron, IVA",20 kg,
Livingston (Tennessee),Official,,1937,Tennessee,1, USA,"Iron, IAB-ung",235 g,
Savannah,Official,,1923,Tennessee,1, USA,"Iron, IIIAB",60 kg,
Cookeville,Official,,1913,Tennessee,1, USA,"Iron, IAB-ung",2.3 kg,
Palmersville **,Official,,1908,Tennessee,1, USA,H5,9.98 kg,86
Jonesboro,Official,,1891,Tennessee,1, USA,"Iron, IVA",30 g,
Crab Orchard,Official,,1887,Tennessee,1, USA,Mesosiderite-A1,48.5 kg,
Morristown,Official,,1887,Tennessee,1, USA,Mesosiderite-A3,16.3 kg,
Waldron Ridge,Official,,1887,Tennessee,1, USA,"Iron, IAB complex",13.6 kg,
Babb's Mill (Blake's Iron),Official,,1876,Tennessee,1, USA,"Iron, ungrouped",136 kg,
Coopertown,Official,,1860,Tennessee,1, USA,"Iron, IIIE",16.8 kg,
Petersburg,Official,Y,1855,Tennessee,1, USA,Eucrite-pmict,1800 g,
Tazewell,Official,,1853,Tennessee,1, USA,"Iron, IAB-sLH",27 kg,
Murfreesboro,Official,,1847,Tennessee,1, USA,"Iron, ungrouped",8.6 kg,
Jackson County,Official,,1846,Tennessee,1, USA,"Iron, IIIAB",450 g,
Babb's Mill (Troost's Iron),Official,,1842,Tennessee,1, USA,"Iron, ungrouped",6.4 kg,
Carthage,Official,,1840,Tennessee,1, USA,"Iron, IIIAB",127 kg,
