symbol,date,price
IBM,Feb-06,75.09
IBM,Mar-06,77.17
IBM,Apr-06,77.05
IBM,May-06,75.04
IBM,Jun-06,72.15
IBM,Jul-06,72.7
IBM,Aug-06,76.35
IBM,Sep-06,77.26
IBM,Oct-06,87.06
IBM,Nov-06,86.95
IBM,Dec-06,91.9
IBM,Jan-07,93.79
IBM,Feb-07,88.18
IBM,Mar-07,89.44
IBM,Apr-07,96.98
IBM,May-07,101.54
IBM,Jun-07,100.25
IBM,Jul-07,105.4
IBM,Aug-07,111.54
IBM,Sep-07,112.6
IBM,Oct-07,111
IBM,Nov-07,100.9
IBM,Dec-07,103.7
IBM,Jan-08,102.75
IBM,Feb-08,109.64
IBM,Mar-08,110.87
IBM,Apr-08,116.23
IBM,May-08,125.14
IBM,Jun-08,114.6
IBM,Jul-08,123.74
IBM,Aug-08,118.16
IBM,Sep-08,113.53
IBM,Oct-08,90.24
IBM,Nov-08,79.65
IBM,Dec-08,82.15
IBM,Jan-09,89.46
IBM,Feb-09,90.32
IBM,Mar-09,95.09
IBM,Apr-09,101.29
IBM,May-09,104.85
IBM,Jun-09,103.01
IBM,Jul-09,116.34
IBM,Aug-09,117
IBM,Sep-09,118.55
IBM,Oct-09,119.54
IBM,Nov-09,125.79
IBM,Dec-09,130.32
IBM,Jan-10,121.85
IBM,Feb-10,127.16
IBM,Mar-10,125.55
GOOG,Aug-04,102.37
GOOG,Sep-04,129.6
GOOG,Oct-04,190.64
GOOG,Nov-04,181.98
GOOG,Dec-04,192.79
GOOG,Jan-05,195.62
GOOG,Feb-05,187.99
GOOG,Mar-05,180.51
GOOG,Apr-05,220
GOOG,May-05,277.27
GOOG,Jun-05,294.15
GOOG,Jul-05,287.76
GOOG,Aug-05,286
GOOG,Sep-05,316.46
GOOG,Oct-05,372.14
GOOG,Nov-05,404.91
GOOG,Dec-05,414.86
GOOG,Jan-06,432.66
GOOG,Feb-06,362.62
GOOG,Mar-06,390
GOOG,Apr-06,417.94
GOOG,May-06,371.82
GOOG,Jun-06,419.33
GOOG,Jul-06,386.6
GOOG,Aug-06,378.53
GOOG,Sep-06,401.9
GOOG,Oct-06,476.39
GOOG,Nov-06,484.81
GOOG,Dec-06,460.48
GOOG,Jan-07,501.5
GOOG,Feb-07,449.45
GOOG,Mar-07,458.16
GOOG,Apr-07,471.38
GOOG,May-07,497.91
GOOG,Jun-07,522.7
GOOG,Jul-07,510
GOOG,Aug-07,515.25
GOOG,Sep-07,567.27
GOOG,Oct-07,707
GOOG,Nov-07,693
GOOG,Dec-07,691.48
GOOG,Jan-08,564.3
GOOG,Feb-08,471.18
GOOG,Mar-08,440.47
GOOG,Apr-08,574.29
GOOG,May-08,585.8
